timestamp,open,high,low,close
2016-09-30,3.8331,3.8721,3.8158,3.8233
2016-09-29,3.8291,3.8484,3.8191,3.8331
2016-09-28,3.8161,3.8407,3.8127,3.8291
2016-09-27,3.8164,3.8314,3.8058,3.8163
2016-09-26,3.8256,3.8392,3.8038,3.8180
2016-09-25,3.8308,3.8325,3.8193,3.8255
2016-09-23,3.8173,3.8399,3.8069,3.8308
2016-09-22,3.8325,3.8518,3.7960,3.8173
2016-09-21,3.8559,3.8691,3.8269,3.8325
2016-09-20,3.8430,3.8577,3.8268,3.8559
2016-09-19,3.8594,3.8650,3.8325,3.8430
2016-09-18,3.8650,3.8650,3.8563,3.8589
2016-09-16,3.8476,3.8683,3.8388,3.8650
2016-09-15,3.8569,3.8663,3.8281,3.8476
2016-09-14,3.8805,3.8840,3.8426,3.8569
2016-09-13,3.8710,3.8847,3.8539,3.8800
2016-09-12,3.8586,3.8863,3.8453,3.8710
2016-09-11,3.8665,3.8665,3.8520,3.8586
2016-09-09,3.8357,3.8790,3.8280,3.8665
2016-09-08,3.8420,3.8539,3.8048,3.8385
2016-09-07,3.8518,3.8587,3.8307,3.8420
2016-09-06,3.8931,3.8964,3.8443,3.8521
2016-09-05,3.9118,3.9140,3.8856,3.8923
2016-09-04,3.9140,3.9165,3.9078,3.9118
2016-09-02,3.8944,3.9313,3.8844,3.9135
2016-09-01,3.9093,3.9291,3.8860,3.8938
2016-08-31,3.9089,3.9181,3.8952,3.9093
2016-08-30,3.8805,3.9171,3.8763,3.9089
2016-08-29,3.8605,3.8893,3.8518,3.8805
2016-08-28,3.8697,3.8727,3.8575,3.8604
2016-08-26,3.8382,3.8731,3.8131,3.8720
2016-08-25,3.8241,3.8445,3.8098,3.8382
2016-08-24,3.8095,3.8343,3.8000,3.8241
2016-08-23,3.8067,3.8129,3.7881,3.8071
2016-08-22,3.8094,3.8270,3.7969,3.8067
2016-08-21,3.7990,3.8097,3.7990,3.8094
2016-08-20,3.7995,3.7995,3.7990,3.7990
2016-08-19,3.7797,3.8140,3.7764,3.7990
2016-08-18,3.7959,3.8085,3.7724,3.7797
2016-08-17,3.7879,3.8190,3.7809,3.7959
2016-08-16,3.8117,3.8177,3.7658,3.7879
2016-08-15,3.8213,3.8286,3.8020,3.8150
2016-08-14,3.8260,3.8260,3.8164,3.8213
2016-08-12,3.8241,3.8286,3.7965,3.8255
2016-08-11,3.8125,3.8307,3.8059,3.8241
2016-08-10,3.8325,3.8344,3.8082,3.8125
2016-08-09,3.8519,3.8561,3.8283,3.8331
2016-08-08,3.8603,3.8708,3.8438,3.8519
2016-08-07,3.8645,3.8645,3.8554,3.8603
2016-08-05,3.8535,3.8737,3.8334,3.8645
2016-08-04,3.8396,3.8664,3.8346,3.8535
2016-08-03,3.8548,3.8618,3.8325,3.8396
2016-08-02,3.9023,3.9061,3.8465,3.8548
2016-08-01,3.8987,3.9083,3.8911,3.9023
2016-07-31,3.8970,3.8996,3.8912,3.8987
2016-07-29,3.9375,3.9404,3.8840,3.8967
2016-07-28,3.9524,3.9545,3.9221,3.9375
2016-07-27,3.9678,3.9899,3.9426,3.9524
2016-07-26,3.9656,3.9727,3.9532,3.9678
2016-07-25,3.9766,3.9835,3.9600,3.9656
2016-07-24,3.9690,3.9794,3.9690,3.9766
2016-07-22,3.9539,3.9829,3.9424,3.9690
2016-07-21,3.9684,3.9716,3.9463,3.9537
2016-07-20,3.9746,3.9907,3.9587,3.9686
2016-07-19,3.9455,3.9859,3.9404,3.9760
2016-07-18,3.9981,4.0018,3.9398,3.9456
2016-07-17,3.9947,4.0091,3.9934,3.9973
2016-07-15,3.9667,4.0154,3.9510,4.0106
2016-07-14,3.9672,3.9760,3.9464,3.9667
2016-07-13,3.9733,3.9900,3.9594,3.9672
2016-07-12,4.0020,4.0056,3.9676,3.9739
2016-07-11,3.9876,4.0148,3.9837,4.0020
2016-07-10,3.9889,3.9932,3.9846,3.9876
2016-07-08,3.9999,4.0216,3.9764,3.9893
2016-07-07,4.0012,4.0141,3.9853,3.9998
2016-07-06,4.0118,4.0338,3.9881,4.0012
2016-07-05,3.9794,4.0241,3.9624,4.0114
2016-07-04,3.9607,3.9935,3.9468,3.9794
2016-07-03,3.9615,3.9641,3.9556,3.9609
2016-07-01,3.9421,3.9691,3.9330,3.9624
2016-06-30,3.9735,3.9990,3.9320,3.9407
2016-06-29,3.9928,4.0122,3.9681,3.9732
2016-06-28,4.0480,4.0577,3.9770,3.9931
2016-06-27,4.0103,4.0701,3.9997,4.0407
2016-06-26,3.9870,4.0301,3.9849,4.0106
2016-06-24,3.8184,4.1311,3.8182,3.9870
2016-06-23,3.8569,3.8731,3.7953,3.8183
2016-06-22,3.9021,3.9175,3.8482,3.8571
2016-06-21,3.8744,3.9256,3.8576,3.9021
2016-06-20,3.8990,3.8990,3.8594,3.8744
2016-06-19,3.9277,3.9277,3.8924,3.8948
2016-06-18,3.9085,3.9085,3.9085,3.9085
2016-06-17,3.9373,3.9540,3.9048,3.9136
2016-06-16,3.9295,4.0003,3.9156,3.9373
2016-06-15,3.9516,3.9623,3.9105,3.9295
2016-06-14,3.9085,3.9659,3.9006,3.9488
2016-06-13,3.8809,3.9154,3.8737,3.9085
2016-06-12,3.8809,3.8859,3.8749,3.8763
2016-06-10,3.8304,3.8902,3.8259,3.8864
2016-06-09,3.7896,3.8348,3.7814,3.8304
2016-06-08,3.8340,3.8342,3.7797,3.7898
2016-06-07,3.8352,3.8380,3.8110,3.8340
2016-06-06,3.8619,3.8775,3.8223,3.8358
2016-06-05,3.8592,3.8657,3.8501,3.8618
2016-06-04,3.8732,3.8732,3.8732,3.8732
2016-06-03,3.9308,3.9421,3.8527,3.8590
2016-06-02,3.9192,3.9346,3.9105,3.9308
2016-06-01,3.9409,3.9495,3.9140,3.9192
2016-05-31,3.9419,3.9553,3.9169,3.9409
2016-05-30,3.9480,3.9539,3.9295,3.9419
2016-05-29,3.9295,3.9485,3.9295,3.9479
2016-05-28,3.9395,3.9395,3.9395,3.9395
2016-05-27,3.9333,3.9487,3.9207,3.9395
2016-05-26,3.9503,3.9544,3.9266,3.9333
2016-05-25,3.9690,3.9762,3.9401,3.9495
2016-05-24,3.9614,3.9870,3.9555,3.9695
2016-05-23,3.9328,3.9737,3.9235,3.9614
2016-05-22,3.9430,3.9430,3.9302,3.9330
2016-05-20,3.9371,3.9501,3.9250,3.9501
2016-05-19,3.9153,3.9409,3.9095,3.9371
2016-05-18,3.8634,3.9248,3.8525,3.9153
2016-05-17,3.8632,3.8659,3.8409,3.8634
2016-05-16,3.8738,3.8786,3.8396,3.8632
2016-05-15,3.8790,3.9030,3.8715,3.8737
2016-05-13,3.8754,3.9089,3.8644,3.9030
2016-05-12,3.8736,3.8883,3.8611,3.8754
2016-05-11,3.8796,3.8897,3.8600,3.8745
2016-05-10,3.8929,3.8972,3.8688,3.8796
2016-05-09,3.8853,3.8952,3.8609,3.8929
2016-05-08,3.8795,3.8889,3.8795,3.8853
2016-05-06,3.8601,3.8933,3.8506,3.8795
2016-05-05,3.8293,3.8865,3.8179,3.8601
2016-05-04,3.8178,3.8405,3.8082,3.8293
2016-05-03,3.7988,3.8272,3.7652,3.8178
2016-05-02,3.8130,3.8235,3.7939,3.7988
2016-05-01,3.8235,3.8235,3.8095,3.8159
2016-04-29,3.8698,3.8813,3.8086,3.8235
2016-04-28,3.8697,3.8874,3.8517,3.8698
2016-04-27,3.8693,3.9003,3.8572,3.8703
2016-04-26,3.9124,3.9213,3.8512,3.8702
2016-04-25,3.8828,3.9295,3.8628,3.9125
2016-04-24,3.8816,3.8866,3.8798,3.8849
2016-04-23,3.8873,3.8873,3.8873,3.8873
2016-04-22,3.8289,3.8968,3.8155,3.8873
2016-04-21,3.7776,3.8354,3.7749,3.8292
2016-04-20,3.7811,3.7881,3.7605,3.7776
2016-04-19,3.8070,3.8106,3.7697,3.7811
2016-04-18,3.8056,3.8121,3.7940,3.8070
2016-04-15,3.8129,3.8233,3.7907,3.8010
2016-04-14,3.7979,3.8353,3.7954,3.8129
2016-04-13,3.7626,3.8077,3.7600,3.7979
2016-04-12,3.7461,3.7841,3.7353,3.7638
2016-04-11,3.7617,3.7700,3.7281,3.7460
2016-04-10,3.7634,3.7700,3.7584,3.7637
2016-04-08,3.7764,3.7828,3.7543,3.7777
2016-04-07,3.7436,3.7872,3.7229,3.7781
2016-04-06,3.7445,3.7666,3.7291,3.7436
2016-04-05,3.7201,3.7552,3.7160,3.7445
2016-04-04,3.7271,3.7361,3.7109,3.7201
2016-04-03,3.7340,3.7340,3.7209,3.7271
2016-04-01,3.7246,3.7401,3.7010,3.7340
2016-03-31,3.7673,3.7830,3.7152,3.7249
2016-03-30,3.7592,3.7826,3.7394,3.7673
2016-03-29,3.7968,3.8055,3.7523,3.7591
2016-03-28,3.8159,3.8194,3.7822,3.7968
2016-03-27,3.8126,3.8179,3.8115,3.8162
2016-03-25,3.8171,3.8278,3.8083,3.8156
2016-03-24,3.8099,3.8413,3.8034,3.8171
2016-03-23,3.7931,3.8199,3.7872,3.8099
2016-03-22,3.7881,3.8149,3.7772,3.7931
2016-03-21,3.7786,3.7941,3.7699,3.7879
2016-03-20,3.7845,3.7873,3.7739,3.7812
2016-03-18,3.7770,3.7952,3.7664,3.7807
2016-03-17,3.8220,3.8362,3.7619,3.7770
2016-03-16,3.8600,3.8925,3.8133,3.8220
2016-03-15,3.8513,3.8755,3.8459,3.8601
2016-03-14,3.8427,3.8622,3.8387,3.8513
2016-03-13,3.8524,3.8537,3.8396,3.8446
2016-03-11,3.8750,3.8938,3.8322,3.8405
2016-03-10,3.9240,3.9653,3.8650,3.8750
2016-03-09,3.9269,3.9423,3.9083,3.9251
2016-03-08,3.9299,3.9393,3.9066,3.9269
2016-03-07,3.9345,3.9588,3.9259,3.9298
2016-03-06,3.9337,3.9349,3.9244,3.9345
2016-03-04,3.9600,3.9651,3.9113,3.9113
2016-03-03,3.9754,3.9900,3.9523,3.9595
2016-03-02,3.9817,4.0045,3.9674,3.9754
2016-03-01,3.9955,4.0043,3.9756,3.9817
2016-02-29,3.9981,4.0055,3.9803,3.9952
2016-02-28,3.9979,4.0006,3.9948,3.9977
2016-02-26,3.9497,4.0035,3.9323,3.9860
2016-02-25,3.9698,3.9750,3.9410,3.9497
2016-02-24,3.9737,3.9872,3.9604,3.9706
2016-02-23,3.9511,3.9793,3.9433,3.9734
2016-02-22,3.9309,3.9685,3.9266,3.9515
2016-02-21,3.9269,3.9332,3.9247,3.9310
2016-02-20,3.9315,3.9315,3.9315,3.9315
2016-02-19,3.9545,3.9573,3.9208,3.9315
2016-02-18,3.9496,3.9625,3.9296,3.9545
2016-02-17,3.9539,3.9596,3.9354,3.9490
2016-02-16,3.9353,3.9627,3.9269,3.9540
2016-02-15,3.9111,3.9540,3.9025,3.9354
2016-02-14,3.9025,3.9182,3.8895,3.9127
2016-02-13,3.9025,3.9025,3.9025,3.9025
2016-02-12,3.9057,3.9292,3.8982,3.9025
2016-02-11,3.9056,3.9388,3.8837,3.9056
2016-02-10,3.9391,3.9557,3.8953,3.9056
2016-02-09,3.9686,3.9897,3.9203,3.9348
2016-02-08,3.9582,4.0016,3.9341,3.9678
2016-02-07,3.9495,3.9606,3.9495,3.9540
2016-02-05,3.9477,3.9692,3.9155,3.9515
2016-02-04,3.9890,3.9958,3.9309,3.9477
2016-02-03,4.0311,4.0481,3.9681,3.9846
2016-02-02,4.0385,4.0481,4.0065,4.0410
2016-02-01,4.0878,4.0948,4.0238,4.0402
2016-01-31,4.0801,4.0884,4.0784,4.0817
2016-01-29,4.0705,4.0946,4.0537,4.0784
2016-01-28,4.1105,4.1183,4.0631,4.0705
2016-01-27,4.0892,4.1242,4.0859,4.1105
2016-01-26,4.1274,4.1558,4.0856,4.0895
2016-01-25,4.1264,4.1352,4.1103,4.1274
2016-01-24,4.1250,4.1322,4.1243,4.1264
2016-01-23,4.1250,4.1250,4.1250,4.1250
2016-01-22,4.1302,4.1453,4.0960,4.1271
2016-01-21,4.1225,4.1519,4.1043,4.1280
2016-01-20,4.0751,4.1343,4.0589,4.1227
2016-01-19,4.0916,4.1011,4.0581,4.0750
2016-01-18,4.1042,4.1270,4.0826,4.0916
2016-01-17,4.1010,4.1083,4.0930,4.1079
2016-01-16,4.0930,4.0930,4.0930,4.0930
2016-01-15,4.0440,4.1152,4.0107,4.0930
2016-01-14,3.9997,4.0490,3.9840,4.0449
2016-01-13,4.0165,4.0308,3.9913,3.9992
2016-01-12,4.0046,4.0303,3.9930,4.0165
2016-01-11,3.9827,4.0215,3.9730,4.0046
2016-01-10,3.9944,3.9944,3.9793,3.9826
2016-01-08,3.9779,4.0242,3.9730,4.0008
2016-01-07,4.0349,4.0440,3.9667,3.9776
2016-01-06,4.0030,4.0512,3.9932,4.0349
2016-01-05,3.9685,4.0195,3.9616,4.0015
2016-01-04,3.9294,3.9889,3.9187,3.9675
2016-01-03,3.9299,3.9299,3.9146,3.9237
2015-12-31,3.8938,3.9556,3.8859,3.9210
2015-12-30,3.8752,3.9037,3.8638,3.8942
2015-12-29,3.8673,3.8826,3.8558,3.8727
2015-12-28,3.8723,3.8743,3.8544,3.8677
2015-12-27,3.8730,3.8754,3.8593,3.8730
2015-12-25,3.8605,3.8730,3.8583,3.8730
2015-12-24,3.8865,3.8930,3.8580,3.8614
2015-12-23,3.8770,3.9021,3.8733,3.8871
2015-12-22,3.8975,3.8988,3.8594,3.8763
2015-12-21,3.9261,3.9355,3.8778,3.8964
2015-12-20,3.9355,3.9355,3.9234,3.9293
2015-12-19,3.9355,3.9355,3.9355,3.9355
2015-12-18,3.9678,3.9745,3.9208,3.9245
2015-12-17,3.9468,3.9815,3.9328,3.9678
2015-12-16,3.9497,3.9686,3.9006,3.9412
2015-12-15,3.9665,3.9740,3.9326,3.9496
2015-12-14,3.9750,3.9836,3.9446,3.9680
2015-12-13,3.9698,3.9775,3.9658,3.9751
2015-12-11,3.9716,3.9775,3.9459,3.9693
2015-12-10,3.9457,3.9792,3.9401,3.9716
2015-12-09,3.9855,3.9920,3.9340,3.9464
2015-12-08,3.9898,3.9945,3.9696,3.9855
2015-12-07,3.9577,3.9965,3.9523,3.9898
2015-12-06,3.9604,3.9669,3.9539,3.9544
2015-12-05,3.9604,3.9604,3.9604,3.9604
2015-12-04,3.9586,3.9765,3.9349,3.9604
2015-12-03,4.0304,4.0581,3.9300,3.9612
2015-12-02,4.0286,4.0539,4.0211,4.0302
2015-12-01,4.0367,4.0405,4.0130,4.0293
2015-11-30,4.0266,4.0482,4.0235,4.0342
2015-11-29,4.0240,4.0289,4.0217,4.0278
2015-11-27,4.0299,4.0378,4.0152,4.0255
2015-11-26,4.0159,4.0309,4.0115,4.0299
2015-11-25,4.0023,4.0342,3.9869,4.0159
2015-11-24,3.9965,4.0113,3.9847,4.0023
2015-11-23,3.9811,4.0129,3.9793,3.9965
