timestamp,open (PLN),high (PLN),low (PLN),close (PLN),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2017-07-26,9318.35832190,9438.16796323,8964.90518902,9174.77175502,2544.49092257,2579.12128438,2447.33988011,2532.75317948,1780.07714075,4508496.03796163
2017-07-25,9999.91238357,10055.41302074,8990.78785116,9296.69720209,2729.28959615,2747.29858934,2455.81903024,2538.57609070,3251.41607142,8253967.09983529
2017-07-24,9994.30783431,10108.00267615,9908.67982942,10011.64680055,2731.25234593,2772.93581241,2711.13553145,2732.49228643,722.38923603,1973923.01525052
2017-07-23,10096.52048839,10142.08399244,9824.80952993,9987.34617178,2759.74319759,2772.19734657,2685.46451645,2729.34985729,982.58540297,2681819.32936841
2017-07-22,9725.20095713,10147.58244443,9685.10173028,10090.87493466,2657.75127928,2773.18179256,2646.79276316,2758.20006414,2244.42041021,6190560.51939831
2017-07-21,9876.13219496,9976.02268432,9509.03832325,9723.35569765,2724.99525973,2739.64949382,2616.67558424,2657.24699760,2631.52077970,6992600.69097153
2017-07-20,8369.27152008,9893.54353279,8352.31346061,9738.57205019,2293.35950788,2729.93116437,2287.88195624,2687.04004254,3800.59536311,10212351.92618447
2017-07-19,8309.91555857,8672.20953904,8135.98551812,8369.30125761,2285.40818288,2375.39187612,2237.36810632,2293.36765660,1859.63446102,4264825.52600084
2017-07-18,8036.61388256,8620.98944573,7838.83472466,8312.13658562,2194.65684005,2377.75795043,2147.91446317,2286.01901380,2439.07686976,5575776.10040282
2017-07-17,7054.29888148,8082.78343780,7020.12872260,8037.44803676,1923.59366868,2207.39573518,1914.12778248,2194.88463278,3383.68381099,7426795.59891594
2017-07-16,7345.29817258,7482.59438463,6667.39084880,7045.76234076,2003.19029469,2040.63335459,1818.31320192,1921.26589154,3548.82551922,6818237.42511512
2017-07-15,8201.17799628,8212.57532853,7215.94227030,7364.59639446,2236.60357704,2239.71182735,1967.91269508,2008.45325473,2944.72225733,5914337.00202070
2017-07-14,8751.97773360,8788.73375716,8002.74607082,8189.29060394,2362.15876101,2377.96434487,2182.71335202,2233.36167883,2457.18095902,5487773.79183034
2017-07-13,8868.96493728,8942.43535224,8629.23627561,8678.51267833,2393.94747473,2411.30023998,2327.96772704,2342.33054284,803.60156578,1882300.49179683
2017-07-12,8700.75818726,8980.93114405,8449.20013019,8868.95857249,2354.39745186,2423.72171220,2287.12191384,2393.94575672,1319.89943660,3159767.65554964
2017-07-11,8845.35455655,9031.84236974,8483.52471725,8707.93239526,2378.10951409,2426.83819536,2278.76605513,2356.33876969,2187.43658084,5154341.62167674
2017-07-10,9429.81884173,9452.23707100,8714.36277232,8847.36464461,2536.32933692,2547.35739078,2343.94423945,2378.64993443,2886.52579491,6866034.39279258
2017-07-09,9495.32346816,9532.88197141,9429.61806984,9429.81828422,2557.00856836,2566.60437548,2536.27533550,2536.32918696,436.80033602,1107869.44112352
2017-07-08,9445.64532510,9511.19382982,9383.17801888,9488.42412156,2544.11024850,2561.28231963,2527.28517107,2555.15063393,727.71574165,1859423.33859661
2017-07-07,9709.22905579,9709.22905579,9371.87572009,9444.56748981,2615.96757554,2615.96757554,2521.54812354,2543.81994204,1068.40662674,2717834.08330931
2017-07-06,9677.29249838,9766.22774683,9609.08161127,9709.22964506,2595.79500314,2618.61329214,2577.55061721,2615.96773430,909.63824153,2379584.28973000
2017-07-05,9641.95114091,9759.00330103,9426.01051036,9676.95272584,2584.13521107,2619.80265745,2524.47487456,2595.70386403,1232.61682765,3199508.26239478
2017-07-04,9573.08209570,9718.68181195,9522.33604864,9642.00304109,2561.48312045,2604.99290232,2547.56069336,2584.14912082,1401.96634109,3622890.08774568
2017-07-03,9319.56043803,9603.46201259,9235.42085267,9564.43609330,2516.24646825,2570.03653148,2483.10126388,2559.16969735,1477.52837994,3781245.85691727
2017-07-02,9073.53392166,9327.81607450,8989.92636856,9322.95600281,2449.95583202,2518.38094570,2427.18424573,2517.16325805,1231.98222557,3101100.39277350
2017-07-01,9332.79083126,9429.48673670,9043.55077424,9073.48756681,2519.94653567,2546.05539381,2441.86004624,2449.94331569,1355.52722014,3320964.85221159
2017-06-30,9488.44272778,9552.95882679,9331.36494255,9332.70057191,2559.04784770,2576.65224911,2519.56153150,2519.92216474,939.14865634,2366581.51510082
2017-06-29,9527.31170003,9603.81312444,9377.75525866,9475.95175026,2559.92855435,2588.57096309,2518.13673927,2555.67901152,1222.83490975,3125173.51339904
2017-06-28,9412.08138922,9575.23233466,9213.32830680,9527.77295791,2517.03002365,2574.92372136,2465.51817704,2560.05249144,1553.48807363,3977011.01331499
2017-06-27,9018.63122560,9390.81503087,8598.23407412,9390.81503087,2398.94346029,2511.34285837,2299.58825550,2511.34285837,3438.30322712,8634758.25433265
2017-06-26,9383.54236126,9665.09328690,8585.58939729,9019.99136187,2488.03644241,2565.92445049,2280.47078788,2399.30525466,3667.85198131,8800296.53207444
2017-06-25,9747.49333359,10005.80851464,9341.92506977,9402.60719577,2583.99982334,2652.93470003,2476.99509337,2493.09146334,1464.41169794,3650912.30294514
2017-06-24,10326.91830269,10363.99614535,9694.44279182,9737.62412267,2737.40729738,2747.23570447,2569.93645485,2581.38355694,1463.40130364,3777600.06242085
2017-06-23,10222.54983559,10340.33648436,10164.12643807,10326.92853587,2696.14005765,2741.56205422,2685.88852183,2737.41000994,803.37982978,2199179.98782143
2017-06-22,10263.07637159,10347.98966125,10145.88895158,10222.55864448,2693.27902157,2724.26782234,2663.33556678,2696.14238095,1214.96490493,3275718.37154532
2017-06-21,10408.32246439,10527.48367503,10192.38410144,10263.08444853,2728.76345972,2760.18501987,2672.05954794,2693.28114116,1713.11107203,4613889.74300931
2017-06-20,9802.16030110,10494.10543848,9747.59682900,10344.21493106,2589.92669245,2750.80760281,2575.57117899,2711.95630419,1976.16564827,5359274.88794526
2017-06-19,9676.98902771,9836.59680869,9611.53743477,9730.63045111,2574.38962999,2619.31113396,2543.34100133,2571.02707624,1629.36767403,4189148.40707539
2017-06-18,10014.13282333,10016.33070612,9575.00053569,9645.63076296,2664.85698560,2664.85698560,2547.75220036,2566.04732524,1457.29862612,3739497.24162652
2017-06-17,9590.48026487,10090.70174327,9501.44441982,10014.12382844,2551.78555242,2685.08980542,2528.09535373,2664.85459197,1082.57860335,2884914.56230697
2017-06-16,9657.53864348,9907.44130978,9445.78920021,9597.92425607,2542.54146333,2626.97347259,2490.54928047,2553.76621123,2081.32753081,5315223.92267902
2017-06-15,9808.06785134,9945.66373534,8896.28407959,9630.44933197,2620.22562192,2658.29248657,2345.78933702,2535.40965674,3464.31555968,8783459.12401013
2017-06-14,10442.86308664,10622.93253707,9439.67647149,9789.54998786,2791.81375009,2838.72440631,2520.64152298,2615.27857413,3083.61777818,8064519.50608165
2017-06-13,10581.61552111,10921.48994714,10346.95744934,10467.28856260,2827.55270486,2917.02034691,2767.59698180,2798.34370065,1854.68840751,5190055.62182851
2017-06-12,11466.57907942,11502.12548414,9869.84274411,10591.03619865,3069.17174005,3077.36826191,2635.26303631,2830.07003902,4775.82518026,13515919.75426367
2017-06-11,10922.55938487,11503.53258034,10342.97475567,11502.52823195,2922.30663248,3079.06280171,2766.86991043,3078.79397544,1219.64388037,3755032.23106746
2017-06-10,10734.51426089,11115.81610314,10648.34628600,10901.24411709,2871.85573372,2973.86723190,2848.80280494,2916.60377967,1191.91363499,3476339.81285420
2017-06-09,10515.94695846,10834.27582996,10499.57007532,10745.10615585,2801.63915325,2898.66329647,2796.34969194,2874.68943384,1118.29029314,3214737.28965047
2017-06-08,10264.75509291,10655.05075596,10086.53523728,10502.56880510,2746.16560132,2847.33918849,2696.32535892,2798.07497036,1961.41984561,5488199.77636938
2017-06-07,10672.98550820,10717.53708923,10190.10015252,10318.88048520,2869.19781932,2874.56233425,2726.43361173,2760.64595562,2468.60428958,6814942.44804327
2017-06-06,9968.39280511,10791.23060661,9880.82855460,10678.70042304,2680.17982016,2894.70110053,2655.52993391,2870.73414870,4682.06530027,13440964.74392869
2017-06-05,9465.55753063,10016.63648424,9439.85443482,9968.38975892,2551.46637482,2693.10537429,2542.99778126,2680.17900113,1681.31193163,4506216.93351217
2017-06-04,9583.32490021,9676.55365184,9319.35647725,9471.49354433,2584.67048125,2609.81474014,2512.39677832,2553.06644321,793.06824508,2024755.92368577
2017-06-03,9304.44300332,9706.81671933,9139.51606494,9552.41549635,2507.91786780,2617.13334484,2463.46349095,2576.33406100,1230.08924065,3169120.80875731
2017-06-02,8953.06286024,9304.23991718,8940.21885532,9304.01290964,2394.40485570,2507.86312800,2391.08400295,2507.80194043,1268.40114704,3180898.85778768
2017-06-01,8631.95152128,9182.74020171,8600.56680242,8990.91254377,2322.60106984,2459.81629255,2312.39831207,2404.52736544,2572.08779181,6184655.48173252
2017-05-31,8307.86830168,8684.01705166,8154.07945507,8631.96593201,2222.69234210,2337.02977976,2182.66292322,2322.60494734,1727.04784468,4011249.86835157
2017-05-30,8632.02824556,8780.41635979,8308.68230121,8309.25970749,2301.32188156,2342.84052702,2223.06459969,2223.06459969,1865.90026773,4148016.83174193
2017-05-29,8483.07392497,8738.95291987,8295.66441418,8632.02877815,2267.98630744,2334.40573570,2214.38092901,2301.32202355,1518.51322930,3494587.93764660
2017-05-28,8214.55617470,8839.20062028,8158.16571022,8483.07296993,2197.11034950,2362.98035669,2182.02784589,2267.98605211,2029.02960815,4601810.85059727
2017-05-27,8573.48173218,8723.99882259,7527.94939451,8209.02319690,2292.03037730,2332.26954201,2012.51827787,2195.63046884,3469.88299535,7618580.82790472
2017-05-26,8402.38063741,9649.92568653,8104.36334904,8522.88564007,2256.55104334,2593.83385480,2163.47126242,2278.50404299,3827.73563120,8721511.11120162
2017-05-25,9021.19871663,10252.37818549,8365.87819589,8424.27105503,2425.85747282,2758.20589401,2246.74791419,2262.42995395,5382.41906985,12177346.12833834
2017-05-24,8326.21601908,9195.33593356,8326.21601908,9004.49078032,2215.45028114,2470.91797727,2214.90968976,2421.36460292,4020.96244240,9736216.12771396
2017-05-23,7880.27501378,8408.17001166,7880.27501378,8327.93359565,2109.65005762,2247.92420669,2109.65005762,2215.90729612,2581.65293589,5720703.57669303
2017-05-22,7581.88791043,8463.71752023,7559.00296944,7910.31352770,2022.93077708,2264.87309711,2017.35069554,2117.69175065,4642.25303440,9830860.95536058
